holderAddress,holderName,holderImg,coinType,coinDenom,holderSecurityMessage,amount,usdAmount,percentage,objectsCount
0xf95926a1f25c77c937cf7006e948695288c74568ff961a9ab58eb46caf147911,,,0x6907963ca849faff0957b9a8269a7a07065e3def2eef49cc33b50ab946ea5a9f::coin::COIN,Bonk,,9492037.48596,103.2733678472448,1.068267222016716e-05,1
0xae197ec35ac3e3f21afd7c783ceff434a64b88483a170b47901c3c66f985636a,,,0x6907963ca849faff0957b9a8269a7a07065e3def2eef49cc33b50ab946ea5a9f::coin::COIN,Bonk,,8158722.59736,88.7669018592768,9.18211283634147e-06,1
0x735d0215efc9adafb499d5c1b1f60cfcb1b7eb56e8ea2fff4563738b29a6a4ec,,,0x6907963ca849faff0957b9a8269a7a07065e3def2eef49cc33b50ab946ea5a9f::coin::COIN,Bonk,,8146542.63726,88.63438389338879,9.16840508164755e-06,2
0x59112ae5ba03d02cf7d6d23c80867a9d67fb9eda919284d00965051234685780,,,0x6907963ca849faff0957b9a8269a7a07065e3def2eef49cc33b50ab946ea5a9f::coin::COIN,Bonk,,8143229.81975,88.59834043887999,9.16467672051993e-06,1
0xb1ee36215c6aec5f83d58905ae2274cde4c8811a39661b5d32d95218f6af602f,,,0x6907963ca849faff0957b9a8269a7a07065e3def2eef49cc33b50ab946ea5a9f::coin::COIN,Bonk,,8123850.45448,88.38749294474239,9.14286650250082e-06,2
0xcdff242dd9b0b72a6fd768815042c4f92475304e3e2d9033ebb44da5bb5e0148,,,0x6907963ca849faff0957b9a8269a7a07065e3def2eef49cc33b50ab946ea5a9f::coin::COIN,Bonk,,8118774.1976,88.33226326988799,9.13715350479779e-06,1
0xe2a3fa87c07382274a69b564d45fedad50698f548b9de17b1c3a5fa7c4b70759,,,0x6907963ca849faff0957b9a8269a7a07065e3def2eef49cc33b50ab946ea5a9f::coin::COIN,Bonk,,8118597.50153,88.3303408166464,9.13695464483741e-06,1
0x4b77022bce9e982e2a078cfb95b649e60712611ffdfe0f86a2ae01f13d8be95b,,,0x6907963ca849faff0957b9a8269a7a07065e3def2eef49cc33b50ab946ea5a9f::coin::COIN,Bonk,,8117323.35254,88.31647807563519,9.13552067283298e-06,1
0x6f1aeceb40ba71a3e0adb87761ea9e70ade703113e0eb20fe822a3f419eac49c,,,0x6907963ca849faff0957b9a8269a7a07065e3def2eef49cc33b50ab946ea5a9f::coin::COIN,Bonk,,8113977.75657,88.28007799148159,9.13175542167574e-06,2
0xa947e8b8c58b861ab1b499d7e49b897f2cbb88112fbe30987de2837e2639ac74,,,0x6907963ca849faff0957b9a8269a7a07065e3def2eef49cc33b50ab946ea5a9f::coin::COIN,Bonk,,8112707.40768,88.26625659555839,9.13032572643726e-06,1
0x3bda1430ae69502685982c4d05ccd0d8f06b0601d6a517852bae96196f23e623,,,0x6907963ca849faff0957b9a8269a7a07065e3def2eef49cc33b50ab946ea5a9f::coin::COIN,Bonk,,8107851.12779,88.21342027035519,9.12486029856142e-06,1
